
GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
36061,"New York, NY",2,Chain-type quantity indexes for real GDP,71.898,68.585,67.047,68.553,72.848,77.080,77.081,71.183,77.475,81.056,82.577,88.525,88.873,92.052,94.002,96.364,100.000,102.528,105.192,101.919,108.225,110.225
36061,"New York, NY",3,Current-dollar GDP (thousands of current dollars),354568871,345059678,344482671,363741309,397393865,433065577,448651866,416137057,441655681,475037193,494077691,543251722,564164258,605387881,632113508,665374293,708516749,749124139,781725866,770001330,844809734,885651810
36063,"Niagara, NY",1,Real GDP (thousands of chained 2017 dollars),8907592,9448324,9483602,9708128,9529816,9597659,9495613,9275805,9201673,9700144,9928643,9379065,9480554,9585193,9323929,9714032,9718809,9635152,9978260,9646082,9723695,9798529
36063,"Niagara, NY",2,Chain-type quantity indexes for real GDP,91.653,97.217,97.580,99.890,98.055,98.753,97.703,95.442,94.679,99.808,102.159,96.504,97.549,98.625,95.937,99.951,100.000,99.139,102.670,99.252,100.050,100.820
36063,"Niagara, NY",3,Current-dollar GDP (thousands of current dollars),6615927,7035077,7185723,7483044,7536095,7852182,7907932,7816059,8152229,8550636,8859202,8462736,8753429,9134038,9077174,9520607,9718809,9884671,10464873,10250670,11047523,12086455
36065,"Oneida, NY",1,Real GDP (thousands of chained 2017 dollars),9336494,9466970,9677452,9833585,9850948,10054557,10419560,10418487,10507594,10753031,10586653,10628561,10480024,10462099,10500410,10692968,10681680,10827678,11125823,10838100,11005641,11097174
36065,"Oneida, NY",2,Chain-type quantity indexes for real GDP,87.407,88.628,90.599,92.060,92.223,94.129,97.546,97.536,98.370,100.668,99.110,99.503,98.112,97.944,98.303,100.106,100.000,101.367,104.158,101.464,103.033,103.890
36065,"Oneida, NY",3,Current-dollar GDP (thousands of current dollars),6731196,6971869,7270728,7622640,7835906,8269422,8823068,8963340,9194113,9518174,9506392,9726349,9756435,9938524,10173889,10518391,10681680,11104142,11608046,11590196,12215360,13012915
36067,"Onondaga, NY",1,Real GDP (thousands of chained 2017 dollars),24691698,25241846,26333748,26997270,27267427,27308743,27952199,27794118,27459667,28324349,28053633,28725590,28856431,29724001,30938629,30753398,30750604,30932707,31894110,30946468,31746331,31913695
36067,"Onondaga, NY",2,Chain-type quantity indexes for real GDP,80.297,82.086,85.637,87.794,88.673,88.807,90.900,90.386,89.298,92.110,91.230,93.415,93.840,96.662,100.611,100.009,100.000,100.592,103.719,100.637,103.238,103.782
36067,"Onondaga, NY",3,Current-dollar GDP (thousands of current dollars),18475361,19180017,20261002,21236700,21966947,22593698,23656314,23861904,24211819,25103471,25173314,26325762,26927131,28255597,30050160,30346179,30750604,31616714,33317666,33098511,35212562,37649444
36069,"Ontario, NY",1,Real GDP (thousands of chained 2017 dollars),5111734,4316385,4431049,4538879,4645677,4760997,4883367,4982345,4952559,5290468,5323701,5381608,5737310,5815988,6275835,5986681,6119513,6204114,6426485,6167306,6353724,6446953
36069,"Ontario, NY",2,Chain-type quantity indexes for real GDP,83.532,70.535,72.409,74.171,75.916,77.800,79.800,81.417,80.931,86.452,86.995,87.942,93.754,95.040,102.554,97.829,100.000,101.382,105.016,100.781,103.827,105.351
36069,"Ontario, NY",3,Current-dollar GDP (thousands of current dollars),3759607,3239097,3365782,3513948,3695672,3906004,4106350,4261552,4353789,4663158,4765466,4932605,5360249,5517824,6100304,5914885,6119513,6321668,6705904,6596887,7060880,7733430
36071,"Orange, NY",1,Real GDP (thousands of chained 2017 dollars),13834129,14054961,14990652,15626273,15747142,15491942,15580478,16045312,16082042,16563327,16337841,16427692,16526467,16707153,17351885,17528691,17921703,18570272,19794340,19518703,20096575,20748153
36071,"Orange, NY",2,Chain-type quantity indexes for real GDP,77.192,78.424,83.645,87.192,87.866,86.442,86.936,89.530,89.735,92.420,91.162,91.664,92.215,93.223,96.821,97.807,100.000,103.619,110.449,108.911,112.135,115.771
36071,"Orange, NY",3,Current-dollar GDP (thousands of current dollars),9744258,10105497,11010394,11810959,12270591,12513139,12943871,13588733,13948509,14496934,14532678,14922635,15297126,15788018,16775900,17240358,17921703,19028488,20784539,20972037,22623457,25001648
36073,"Orleans, NY",1,Real GDP (thousands of chained 2017 dollars),1157601,1193746,1217844,1209381,1224947,1225394,1246742,1371606,1492105,1532078,1410460,1367224,1400614,1355338,1416287,1368633,1367534,1353843,1384416,1351700,1390217,1328192
